ID,Show ID,User ID,Rating,Review,Review Date
3069,5492,322,5,Transcends storytelling norms to deliver something truly memorable.,2022-10-02
3070,6087,210,3,"A solid experience, though it doesn’t fully stick the landing.",2023-02-12
3071,6677,159,4,Packs an emotional punch with its profound storytelling.,2021-06-24
3072,5412,88,2,"Fails to deliver on its ambitious premise, falling flat in execution.",2020-01-12
3073,7031,276,5,An exemplary narrative that beautifully marries depth with entertainment.,2022-07-13
3074,5572,379,1,A tedious venture that lacks cohesion and purpose.,2024-02-15
3075,6200,432,3,"While it has its flaws, it provides enough intrigue to keep you watching.",2023-11-05
3076,5342,123,5,"A mystical journey through time, enraptured my senses!",2021-03-15
3077,6182,100,3,An interesting premise but lacked in execution.,2023-06-16
3078,5690,435,2,"Could not get past the first 20 minutes, sadly.",2023-02-06
3079,5823,212,4,A quite remarkable portrayal of love and adventure.,2020-02-25
3080,6543,356,1,Utterly disappointing and bland.,2020-11-02
3081,6888,78,5,Masterpiece! A fascinating ride from start to finish.,2021-07-17
3082,7090,234,3,"Had its moments, but not enough to keep me hooked.",2021-06-03
3083,5400,312,4,Brilliantly paced with unforgettable characters.,2023-05-15
3084,6077,191,2,Mediocre at best. Predictable plot.,2021-05-28
3085,7001,402,1,A letdown. Expected much more.,2021-06-11
3086,7123,89,5,Ingeniously crafted! A true spectacle.,2020-09-21
3087,5375,67,3,"Fair enough, but lacks a punch.",2024-02-16
3088,6812,344,2,Falls flat with clichéd storytelling.,2021-09-02
3089,6933,410,4,A visual treat with a soulful storyline.,2024-02-12
3090,5258,267,1,"Sadly, not worth the time.",2021-04-19
3091,5731,391,5,Breathtaking! An emotional rollercoaster.,2020-05-16
3092,6003,154,3,"Decent watch, but I expected more intrigue.",2023-09-06
3093,7008,120,4,A thrilling journey. Highly recommend!,2023-03-22
3094,5189,472,2,Seems lacking in depth and originality.,2022-01-30
3095,6253,333,1,Failed to capture the magic.,2023-10-22
3096,7022,47,5,A work of art. Profound and moving.,2020-12-02
3097,6555,305,3,"Entertaining enough, but forgettable.",2022-11-21
3098,5870,413,2,Tried too hard. Misses the mark.,2020-02-22
3099,6540,278,4,A gem of its genre. Marvelously executed.,2024-02-01
3100,6752,500,1,More boredom than thrill. A disappointment.,2023-01-19
3101,5185,487,5,A stunning masterpiece that speaks to the soul!,2021-05-03
3102,6123,22,4,Intriguing plot with unexpected twists. Highly recommend.,2022-02-12
3103,6558,309,2,"Decent attempt, but fell short on character development.",2020-06-29
3104,5879,198,5,An emotional rollercoaster from start to finish!,2023-05-06
3105,6941,37,3,Good for a one-time watch. Nothing extraordinary.,2021-12-20
3106,5555,478,4,Exceptional cinematography and strong performances.,2022-06-06
3107,6689,159,1,Struggled to make it through. Disappointing.,2020-08-23
3108,7003,330,3,Average execution of a potentially great story.,2020-03-26
3109,5988,29,5,An instant classic. Will watch it over and over.,2021-01-22
3110,6810,444,4,Rich narrative and compelling characters. Engaging throughout.,2023-11-10
3111,6464,71,2,Started strong but quickly lost momentum.,2021-01-08
3112,5603,112,3,A mediocre series that had its moments.,2021-04-11
3113,6251,230,1,Fails to deliver on its promising premise.,2022-08-26
3114,7115,399,4,Visually stunning with a spellbinding soundtrack.,2023-04-16
3115,6719,95,5,Absolutely groundbreaking. A monumental achievement.,2020-04-15
3116,6998,45,2,Too formulaic. Lacks originality.,2020-01-12
3117,5400,322,3,"Entertaining enough, but forgettable.",2022-07-12
3118,5762,167,2,Overhyped. Did not live up to expectations.,2023-08-01
3119,7091,275,1,A total misfire. Unwatchable.,2020-09-15
3120,5935,488,4,Captivating story from the first minute to the last.,2020-01-29
3121,6066,153,5,A rare gem that leaves a lasting impact.,2020-01-09
3122,6539,411,3,"Has potential, but could be executed much better.",2020-04-17
3123,6427,362,3,"Solid entertainment, though it covers familiar ground.",2022-01-16
3124,7124,209,1,Abysmal direction and poor acting. Not recommended.,2021-06-21
3125,5312,50,2,"Tried too hard to be edgy, but ended up being tasteless.",2020-11-29
3126,6184,23,4,A spellbinding tale that takes you on an unforgettable journey.,2020-08-21
3127,5912,112,5,An emotional rollercoaster that left me in tears. Must-watch!,2019-12-10
3128,6945,305,3,"Offers some unique moments, but overall falls flat.",2021-08-28
3129,6013,42,2,Had high expectations but was deeply disappointed.,2023-03-10
3130,5280,389,1,The worst viewing experience. Do not recommend.,2021-02-03
3131,6852,146,5,A masterpiece that will be remembered for generations.,2023-02-21
3132,6189,495,4,Great characters and a story that keeps you hooked.,2022-11-09
3133,5350,73,3,"Good attempt, but lacks depth in storytelling.",2023-01-07
3134,7104,212,2,Fell short of the hype. Needed more development.,2023-01-05
3135,5583,198,3,"An average show, but had its moments.",2020-08-04
3136,6389,33,5,An enthralling plot with brilliant character arcs.,2024-01-23
3137,6901,280,1,A tedious watch without a single redeeming quality.,2022-08-20
3138,5768,19,4,Captivates from start to finish. Highly recommended.,2021-12-21
3139,6395,456,3,Has its flaws but a worthwhile watch nonetheless.,2023-02-12
3140,5689,128,4,Intriguing plot twists and solid acting.,2022-07-12
3141,6204,300,2,Struggles to maintain interest over its duration.,2022-01-04
3142,7179,81,5,A visually stunning experience with a perfect blend of drama and action.,2019-12-07
3143,5368,405,1,Painfully mundane and uninspired. Skip this one.,2021-10-10
3144,6243,213,5,Utterly fantastic! A groundbreaking show.,2020-08-14
3145,6802,195,3,A decent watch with a few standout episodes.,2021-06-15
3146,6121,487,2,"More of the same, nothing new or exciting.",2020-08-03
3147,6984,162,4,Thrilling till the last second. Cast performance is top-notch.,2020-01-17
3148,5652,347,1,Avoid at all costs. Not worth your time.,2021-05-07
3149,5883,99,4,A refreshing narrative with memorable characters.,2021-02-10
3150,5972,62,5,Unrivalled in its execution and storytelling. A true gem.,2020-01-20
3151,6182,367,5,A stellar journey through imaginary realms! Absolutely captivating!,2022-05-29
3152,6287,45,4,"Great character development, but the ending felt rushed.",2020-01-26
3153,7030,122,2,Struggled to keep my attention. The plot was all over the place.,2024-02-15
3154,5634,412,3,Decent watch. Not groundbreaking but not terrible either.,2020-02-28
3155,5852,304,1,Couldn't even finish it. What were they thinking?,2020-10-28
3156,6196,47,4,"Engaging and thought-provoking. A few plot holes, though.",2021-06-16
3157,6345,189,5,An unforgettable adventure! Brilliant through and through.,2023-01-12
3158,6587,276,4,Visually stunning but lacks depth in story.,2020-12-26
3159,6401,90,3,Average fare. Good for a one-time watch.,2023-08-30
3160,6904,129,2,Promising premise that unfortunately fell flat.,2020-07-17
3161,6832,313,1,A laborious watch. Definitely not recommended.,2022-05-29
3162,5959,201,4,Compelling story with epic twists. The cinematography was amazing!,2023-10-04
3163,6305,82,5,An instant classic. Exceptional in every aspect.,2022-11-30
3164,5648,488,3,"Fairly enjoyable, though forgettable.",2022-09-29
3165,6842,159,4,A truly unique watch. Kept me hooked till the end.,2020-09-05
3166,7012,377,1,Absolutely underwhelming. A total miss.,2022-10-21
3167,6890,111,2,Had higher expectations based on the trailer. Disappointing.,2023-12-05
3168,5214,242,5,Revolutionary! A masterpiece that defies genres.,2019-12-04
3169,7128,56,3,"Some good moments, but overall a mixed bag.",2021-10-27
3170,6021,390,2,Tried too hard to be deep. Ended up being pretentious.,2021-01-22
3171,5763,81,3,It's okay. Not sure what the hype is about.,2021-05-26
3172,7061,18,4,Intriguing storyline with robust character arcs.,2021-10-19
3173,6338,259,1,The pacing was all wrong. Made it hard to stay interested.,2021-08-12
3174,6816,478,5,Epic in scope and execution. A true visual and storytelling marvel.,2021-04-17
3175,6120,128,2,Lacking in originality and flair. Quite forgettable.,2023-02-28
3176,6183,234,4,Vivid characters and a mesmerizing storyline!,2022-10-04
3177,5354,120,5,A timeless masterpiece that transcends the genre.,2021-09-13
3178,6728,410,3,Engaging plot but flawed character development.,2021-05-14
3179,6091,302,2,Promising concept but ultimately disappointing.,2021-04-28
3180,5623,97,5,"A rollercoaster of emotions, truly a visual treat!",2021-09-07
3181,6110,187,4,Striking visuals and a gripping narrative.,2020-05-27
3182,7021,85,1,Falls short of expectations with a lackluster script.,2021-08-30
3183,5608,376,3,"Average, not much to talk about.",2020-07-28
3184,5987,49,4,A fresh perspective in an otherwise stale genre.,2023-08-27
3185,6348,422,5,Thrilling from start to finish!,2021-01-08
3186,5719,218,3,"Decent watch, though could have been better.",2023-08-08
3187,6084,392,2,"Had potential, but lacked depth.",2024-01-13
3188,7123,55,1,Forgettable and unimpressive.,2023-10-12
3189,5298,144,5,"An extraordinary journey, beautifully told.",2023-03-23
3190,6032,257,4,A captivating saga that enthralls the audience.,2020-04-30
3191,6225,378,3,"Not bad, but not great either.",2022-07-17
3192,6969,167,2,"Tried too hard, but ultimately unconvincing.",2020-06-23
3193,5210,45,1,"Barely watchable, cannot recommend.",2022-02-16
3194,6243,39,5,An absolute gem in its genre.,2020-03-18
3195,5801,315,4,"Innovative and compelling, a must-watch!",2022-05-22
3196,6954,493,4,"Leaves a lasting impression, very well-done.",2022-01-25
3197,5738,11,2,"Unfulfilled potential, lacked coherence.",2023-03-12
3198,6541,478,3,"A mixed bag, but with several highlights.",2023-10-09
3199,5846,98,5,An epic narrative that thrills and delights.,2021-01-08
3200,7028,222,1,"Tedious and uninteresting, a huge letdown.",2022-07-15
3201,6185,47,4,Astounding visuals and groundbreaking storytelling.,2020-03-19
3202,5341,112,5,A timeless classic that redefines the genre.,2023-03-13
3203,5829,230,3,"Engaging at times, but lacks consistent pacing.",2022-12-06
3204,6117,359,2,Falls short of expectations with its predictable plot.,2024-02-16
3205,6692,488,5,An epic journey that mesmerizes from start to finish.,2023-11-14
3206,7018,123,1,"Sadly, a complete misfire with no redeeming qualities.",2023-08-07
3207,5390,44,4,A well-crafted narrative that stands the test of time.,2020-02-04
3208,5702,321,2,Struggles to deliver on its ambitious premise.,2023-12-27
3209,5860,210,3,"A decent watch, though lacks originality.",2023-08-14
3210,6571,79,4,Immersive world-building and riveting performances.,2019-12-12
3211,6053,11,5,A captivating story that echoes through the ages.,2020-07-16
3212,5783,98,3,"Interesting concepts, but could have been executed better.",2021-12-09
3213,6180,399,2,"Promising start, but quickly loses steam.",2021-05-23
3214,6147,148,4,Masterful direction and compelling characters.,2021-03-10
3215,6523,275,5,An unforgettable odyssey that defies expectations.,2021-04-29
3216,6810,167,1,Disjointed narrative and lackluster acting.,2020-06-21
3217,6019,33,3,"Fairly average, with moments of brilliance.",2023-12-06
3218,5489,91,4,"Visually stunning, with a poignant narrative.",2021-11-26
3219,6907,210,2,Overhyped and underdelivers on many fronts.,2023-12-03
3220,6241,306,5,"Innovative and bold, a true masterpiece.",2021-07-13
3221,6357,148,4,Engrossing plot and multidimensional characters.,2022-12-03
3222,5723,87,3,"Entertaining enough, but forgettable.",2019-11-02
3223,7045,22,1,Fails to capture any real emotion or tension.,2023-08-05
3224,5368,411,5,A revolutionary film that captivates from beginning to end.,2019-11-24
3225,5823,350,4,Skillfully combines genre elements to create a memorable experience.,2020-03-17
3226,5612,123,5,Epic narrative and stunning visuals!,2020-01-15
3227,5801,22,4,"Great characters, but the ending felt rushed.",2022-11-28
3228,6189,312,3,"It was okay, kinda predictable plot though.",2022-12-28
3229,6402,402,2,"Struggled to finish it, not very engaging.",2022-04-21
3230,6901,189,5,A masterpiece! Absolutely loved it!,2020-02-02
3231,7012,87,1,Terrible. Just terrible. Do not recommend.,2023-01-30
3232,5380,255,4,Very innovative and intriguing.,2022-08-23
3233,5730,333,3,Good for a one-time watch.,2020-10-26
3234,6255,98,2,Found it quite boring and unoriginal.,2021-12-05
3235,6567,478,5,An emotional rollercoaster from start to finish!,2023-03-01
3236,7111,167,1,I don't get the hype. It was pretty dull.,2021-11-15
3237,5181,291,4,Solid performance by the whole cast.,2022-06-24
3238,5533,145,3,"Middle of the road. Not bad, not great.",2021-01-15
3239,6010,359,2,The plot twists seemed forced and unnatural.,2021-12-07
3240,6320,436,5,Simply mind-blowing. Best series I've seen this year!,2020-12-29
3241,6644,12,1,Couldn't get into it at all. Very disappointing.,2022-09-28
3242,6872,78,4,"Visually stunning, with a very compelling story.",2021-02-23
3243,7080,212,3,"Decent watch, but nothing groundbreaking.",2022-02-12
3244,5204,301,2,Had its moments but ultimately fell flat.,2023-04-18
3245,5998,465,5,An absolute gem! Totally unexpected.,2023-11-20
3246,6112,53,1,Not worth the time.,2023-01-05
3247,6359,217,4,Strong narrative and character development.,2023-08-04
3248,6587,189,3,"Pretty standard fare, but entertaining.",2020-11-02
3249,6791,44,2,It just didn't click with me. Too cliché.,2024-01-21
3250,7033,322,5,Riveting from start to finish. A must-watch.,2019-12-20
3251,6187,37,4,"A tantalizing journey through time and space, left me wanting more!",2022-02-25
3252,6024,122,3,Solid effects but the storyline could use a spark of originality.,2020-06-23
3253,5498,203,5,"Absolutely groundbreaking, a visual spectacle that redefines the genre!",2023-12-07
3254,6574,336,2,"Struggled to keep my attention. Not the worst, but far from the best.",2021-08-02
3255,5792,110,1,A dismal disappointment. Missed opportunities at every turn.,2019-12-03
3256,6710,478,4,An emotional rollercoaster. Memorable performances that linger.,2022-01-21
3257,6812,22,5,A thrilling ride from start to finish. Masterfully executed.,2020-09-07
3258,5607,94,4,A delightful mix of suspense and humor. A new favorite.,2022-01-23
3259,6987,411,1,Fell flat on its face with uninspired writing and predictable plot.,2023-10-14
3260,7101,334,3,Decent watch but lacks the spark that makes it memorable.,2021-08-04
3261,5345,27,2,Tries too hard. A mishmash of genres that doesn't quite gel.,2023-04-06
3262,6356,489,5,Enthralling narrative and rich character development. A masterpiece.,2020-03-16
3263,7082,123,4,"Visually stunning, with a narrative that keeps you hooked until the end.",2020-10-06
3264,6924,356,1,An unfortunate misstep in what could have been a fantastic series.,2023-05-01
3265,6999,215,3,Compelling in parts but overall fails to leave a lasting impression.,2023-01-08
3266,5181,42,5,A stunning portrayal of complex themes. Unforgettable.,2019-11-25
3267,6055,309,2,More of the same. Lacks originality and true surprises.,2021-09-21
3268,6701,442,4,A captivating tale that blends mystery and adventure seamlessly.,2023-04-16
3269,5923,131,5,Epic in every sense. The storytelling is second to none.,2023-08-30
3270,6613,476,1,Tried to watch twice; fell asleep both times. Just couldn't do it.,2022-12-20
3271,6061,55,2,Missing the charm and depth of its predecessors.,2020-09-13
3272,6234,198,3,An average sequel. Has its moments but ultimately forgettable.,2022-05-21
3273,7170,388,4,Impressive character arcs and a riveting plot. Highly recommend.,2020-08-29
3274,5368,168,5,Redefines the genre with its innovative storytelling and visuals.,2023-11-24
3275,6666,274,3,A good attempt but lacks the depth and polish of better titles.,2024-02-05
3276,5184,23,4,Enthralling narrative and captivating visuals. A must-watch!,2021-09-28
3277,6001,112,2,Failed to live up to the hype. Disappointing ending.,2023-04-21
3278,6703,487,5,An absolute masterpiece! The character development is exquisite.,2022-01-25
3279,5723,359,1,Horrendous script and wooden acting. Avoid at all costs!,2021-05-03
3280,6999,91,3,Decent watch but nothing extraordinary. Good for a one-time view.,2021-01-29
3281,6254,204,4,Innovative storyline and groundbreaking special effects. Highly recommended!,2020-01-02
3282,5432,33,2,Predictable plot with clichéd characters. Could have been much better.,2020-01-31
3283,5852,456,5,Magnificent performance by the cast. Impeccable direction.,2021-10-25
3284,6719,78,1,The worst viewing experience. I wish I could get my time back.,2023-08-02
3285,5945,189,3,Fairly entertaining but lacks originality. Just another average show.,2021-08-12
3286,7022,260,4,Brilliantly explores the themes of love and loss. Stunning cinematography.,2022-04-08
3287,5185,321,2,Struggled to stay awake. This show was painfully boring.,2020-09-18
3288,6734,430,5,Epic in scope and execution. A timeless classic in the making.,2023-06-18
3289,5901,157,1,Absolutely dismal. A complete waste of resources and talent.,2023-10-23
3290,7090,76,3,"It has its moments, but overall it falls flat. Mediocre.",2022-05-20
3291,5418,243,4,Impressive narrative pace and compelling character arcs. Very engaging!,2020-01-27
3292,6714,392,2,Too many loose ends. Interesting concept but poorly executed.,2021-05-09
3293,6321,416,5,An awe-inspiring journey. Breathtaking in every aspect!,2023-02-10
3294,5423,15,1,One of the most overrated shows ever. Does not deserve the hype.,2023-10-23
3295,6887,494,3,Somewhat enjoyable but definitely has room for improvement.,2021-12-14
3296,5879,260,4,A real emotional rollercoaster. Fantastic soundtrack!,2021-11-16
3297,7142,32,2,Lacks substance. Feels like it was made just to cash in.,2019-12-25
3298,5823,193,5,An instant favorite. Exceptionally well-crafted story.,2020-12-28
3299,5468,118,1,Utterly forgettable. I've seen better writing in a preschool show.,2020-12-02
3300,5894,9,3,Good concept but lacks the depth and execution to be truly impactful.,2020-06-28
3301,5518,342,4,"An astounding journey through mystical lands, highly recommend!",2023-11-26
3302,6182,121,2,Pretty lackluster plot with underdeveloped characters.,2021-04-27
3303,5690,87,3,"Average watch, good for when you've got nothing else.",2021-07-28
3304,6024,409,5,"A masterclass in storytelling, absolutely unforgettable.",2023-05-15
3305,6345,178,1,"Couldn't even get past the first episode, terribly monotonous.",2020-04-06
3306,6789,305,4,Great visuals and intriguing plot twists!,2023-12-19
3307,5489,416,2,"Meh, seen better, seen worse.",2022-05-07
3308,6942,123,3,"Not bad, but not memorable either.",2023-06-14
3309,5718,244,5,Absolutely enthralled by the depth of the characters.,2021-05-07
3310,5950,365,1,"Total waste of time, don't bother.",2021-02-11
3311,6094,112,4,Enchanting from start to finish!,2020-09-17
3312,6498,291,2,The storyline felt disjointed and chaotic.,2023-04-07
3313,5423,198,3,Okay for a lazy Sunday afternoon.,2024-01-18
3314,6801,462,5,Brilliant! A thrill ride from beginning to end.,2022-08-20
3315,7021,76,1,"Tedious and predictable, wouldn't recommend.",2020-04-17
3316,5667,389,4,A wonderfully complex web of tales.,2024-02-10
3317,5983,34,2,Failed to live up to the hype for me.,2020-05-20
3318,6743,9,3,"Solid entertainment, though nothing groundbreaking.",2022-01-17
3319,6324,480,5,A visually stunning piece with profound narratives.,2021-07-07
3320,5371,150,1,"Fell asleep halfway through, painfully dull.",2022-06-12
3321,6255,278,4,"Expertly executed, left me wanting more!",2024-03-02
3322,7105,447,2,Started strong but quickly lost its momentum.,2022-05-07
3323,5645,212,3,Decent way to kill a couple of hours.,2020-01-27
3324,6859,333,5,"Truly groundbreaking, pushes the boundaries of the genre.",2023-02-15
3325,5970,99,1,"Disappointingly superficial, vastly overrated.",2020-10-27
3326,5182,125,5,An absolutely riveting tale from start to finish.,2019-12-29
3327,6295,300,4,Great characters but the plot drags a bit in the middle.,2021-01-22
3328,6940,189,2,Struggled to keep my attention after the first few episodes.,2021-07-04
3329,5683,88,3,Decent watch but nothing extraordinary.,2023-10-13
3330,5832,437,1,"Would not recommend, completely unrealistic.",2021-06-16
3331,6154,22,5,Absolutely stunning visuals and a gripping narrative!,2021-06-10
3332,7021,167,4,Intriguing plot twist that I did not see coming.,2020-10-29
3333,5601,94,1,"Fell short of my expectations, quite disappointing.",2019-12-26
3334,6300,307,3,"A solid season, though it feels like something was missing.",2021-07-10
3335,6803,412,2,Started strong but lost its way and ended abruptly.,2020-12-10
3336,5902,55,4,Engaging storylines and well-developed characters.,2024-02-21
3337,6604,239,5,An absolute masterpiece; every scene is a work of art.,2021-01-09
3338,6879,190,3,"Good for a one-time watch, but I wouldn't revisit it.",2021-02-07
3339,5978,321,4,Really picks up in the second half and delivers an impactful finale.,2021-06-23
3340,6105,87,5,"Outstanding in every aspect, from script to acting.",2021-12-13
3341,6409,156,1,I expected much more. Very underwhelming.,2020-09-12
3342,7045,278,2,It had potential but was ultimately let down by poor execution.,2023-01-09
3343,5390,19,3,"Average entertainment, decent for a lazy Sunday.",2023-01-11
3344,7110,33,4,Compelling story with a few unexpected twists.,2023-03-25
3345,6710,91,5,An emotional rollercoaster that left me wanting more.,2020-09-15
3346,5221,433,3,"It's okay, not bad but nothing memorable.",2020-11-12
3347,6355,242,2,Too many cliches and a predictable plot.,2021-07-22
3348,6980,489,1,One of the worst I've watched. Simply painful.,2021-06-15
3349,6138,112,4,Impressive performances and a well-crafted story.,2023-05-22
3350,5481,355,5,It kept me on the edge of my seat. A thrilling adventure.,2021-01-16
3351,5181,234,5,An epic journey through fantastical realms. Absolutely mesmerizing!,2020-04-29
3352,6223,47,4,"Great storyline, could've done with better character development though.",2022-10-07
3353,5700,182,3,"Fairly enjoyable, but somewhat predictable plot.",2021-02-27
3354,6178,321,5,"Best series finale I've ever watched, hands down.",2021-01-30
3355,6890,410,2,"Started strong, but lost its way after the first season.",2022-02-07
3356,5325,89,1,"Terribly executed, feels like a waste of time.",2022-06-11
3357,6084,397,4,"Intriguing and suspenseful, a definite must-watch.",2023-07-21
3358,5999,213,3,"An average watch, decent for a lazy Sunday.",2023-04-28
3359,6458,29,5,Breathtaking visuals and a captivating storyline.,2022-01-30
3360,7012,157,4,"Solid performances all around, though it drags a bit in the middle.",2023-10-29
3361,5341,67,3,"Entertaining enough, but it doesn't bring anything new to the table.",2021-03-12
3362,6211,298,5,"An unprecedented masterpiece, left me speechless!",2022-04-08
3363,6021,356,1,"Found it utterly unwatchable, not recommended.",2022-08-08
3364,6821,420,2,"Had high hopes, but it fell flat in every aspect.",2022-02-23
3365,5164,134,4,"A dark horse of a show, surprisingly good.",2022-11-30
3366,6088,276,3,"Neither here nor there, just sort of exists.",2021-01-08
3367,6700,45,5,"Phenomenal, every moment was a thrilling experience.",2023-11-25
3368,5333,169,4,"Engaging and charming, with a few unexpected twists.",2022-08-30
3369,6791,310,2,"Promising concept, but poorly executed.",2021-01-12
3370,7114,491,1,"Forgettable at best, don't bother.",2022-01-27
3371,6859,112,4,"Gripping drama, leaves you wanting more after each episode.",2019-12-15
3372,5222,322,3,"Has its moments, but generally a mediocre offering.",2020-04-16
3373,5632,38,5,A captivating narrative that kept me on the edge of my seat.,2022-04-05
3374,7148,243,4,"Stellar cast and storyline, a very engaging watch.",2023-06-20
3375,5904,475,2,"Tried to watch it twice, couldn't make it through either time.",2021-01-17
3376,5183,47,4,A stellar journey through the abstract dimensions of storytelling.,2021-09-12
3377,6145,342,3,"Interesting concept, though the pacing was somewhat off.",2021-04-03
3378,5790,89,5,Absolutely groundbreaking! Will watch again.,2021-06-23
3379,6981,225,2,Failed to live up to its hype. Quite a disappointment.,2021-08-16
3380,6568,456,1,I'd rather watch paint dry. Terrible execution.,2022-08-13
3381,5938,103,4,Engaging from start to finish. Thoroughly enjoyed it.,2022-02-22
3382,6181,294,3,"Has its moments, but overall just average.",2020-11-09
3383,6337,72,5,An emotional rollercoaster. Deeply moved.,2020-03-28
3384,6469,112,1,Dreadful. Couldn't make it through the first episode.,2023-04-18
3385,6184,350,2,"Had potential, but lacked character development.",2020-08-30
3386,7001,418,4,Visually stunning with an engaging plot. Highly recommend.,2022-02-01
3387,6912,150,3,Good for a one-time watch. Nothing extraordinary.,2021-07-12
3388,5277,212,5,A masterpiece of its genre. Unforgettable experience.,2019-11-14
3389,5428,73,1,A complete waste of time. Avoid at all costs.,2022-07-12
3390,5632,489,4,Compelling story with excellent character arcs.,2024-02-01
3391,6352,333,2,Lacked originality and depth. Quite predictable.,2020-09-20
3392,6763,199,3,"Decent performances, but the storyline was cliché.",2021-07-30
